Product_Name,Price,Discount,Category
Onion (Loose),₹70,36% OFF,?q=vegetable&nc=as
Bottle Gourd (Loose),₹13,66% OFF,?q=vegetable&nc=as
Cabbage,₹13,47% OFF,?q=vegetable&nc=as
Palak - Organically Grown,₹88,21% OFF,?q=vegetable&nc=as
Brinjal - Varikatri (Loose),₹58.08,20% OFF,?q=vegetable&nc=as
Beetroot (Loose),₹12,48% OFF,?q=vegetable&nc=as
Drumstick Leaves,₹33.32,24% OFF,?q=vegetable&nc=as
Carrots - Grated,₹41.64,24% OFF,?q=vegetable&nc=as
Drumstick - Cut,₹89.54,24% OFF,?q=vegetable&nc=as
Drumstick - Organically Grown,₹21.87,24% OFF,?q=vegetable&nc=as
Carrot Red Halwa,₹39.56,24% OFF,?q=vegetable&nc=as
"Potato - Chandramukhi, Organically Grown",₹31.34,20% OFF,?q=vegetable&nc=as
Tomato - Hybrid (Loose),₹7.5,58% OFF,?q=vegetable&nc=as
Bitter Gourd (Loose),₹21,52% OFF,?q=vegetable&nc=as
Coccinia (Loose),₹48,43% OFF,?q=vegetable&nc=as
Brinjal - Bottle Shape (Loose),₹25,41% OFF,?q=vegetable&nc=as
Green Peas (Loose),₹15,54% OFF,?q=vegetable&nc=as
Golden Sweet Corn,₹49,18% OFF,?q=vegetable&nc=as
Spring Onion,₹71.23,20% OFF,?q=vegetable&nc=as
Potato - Fresh Crop,₹60,41% OFF,?q=vegetable&nc=as
Ladies' Fingers (Loose),₹13,59% OFF,?q=vegetable&nc=as
Carrot - Orange (Loose),₹9,45% OFF,?q=vegetable&nc=as
5 Mix Vegetable,₹133,34% OFF,?q=vegetable&nc=as
Winter Green Peas,₹179,11% OFF,?q=vegetable&nc=as
Cauliflower,₹42.74,20% OFF,?q=vegetable&nc=as
Methi - With roots,₹15.34,20% OFF,?q=vegetable&nc=as
"Methi/Venthaya Keerai - Cleaned, without roots",₹7,72% OFF,?q=vegetable&nc=as
Cucumber,₹9.9,56% OFF,?q=vegetable&nc=as
Capsicum - Green (Loose),₹51,35% OFF,?q=vegetable&nc=as
Tomato - Local,₹35,54% OFF,?q=vegetable&nc=as
Potato,₹36,42% OFF,?q=vegetable&nc=as
Coriander Leaves,₹104.11,20% OFF,?q=vegetable&nc=as
Potato - New Crop,₹39,21% OFF,?q=vegetable&nc=as
Ginger - Organically Grown (Loose),₹11.5,58% OFF,?q=vegetable&nc=as
Radish - White (Loose),₹20,64% OFF,?q=vegetable&nc=as
Beans - Haricot (Loose),₹52,54% OFF,?q=vegetable&nc=as
Carrot - Red,₹12,54% OFF,?q=vegetable&nc=as
Drumstick/Moringa,₹218.08,20% OFF,?q=vegetable&nc=as
"Chilli - Green, Organically Grown",₹44,45% OFF,?q=vegetable&nc=as
Ridge Gourd,₹23,40% OFF,?q=vegetable&nc=as
Onion (Loose),₹70,36% OFF,?q=vegetable&nc=as
Bottle Gourd (Loose),₹13,66% OFF,?q=vegetable&nc=as
Cabbage,₹13,47% OFF,?q=vegetable&nc=as
Palak - Organically Grown,₹88,21% OFF,?q=vegetable&nc=as
Brinjal - Varikatri (Loose),₹58.08,20% OFF,?q=vegetable&nc=as
Beetroot (Loose),₹12,48% OFF,?q=vegetable&nc=as
Drumstick Leaves,₹33.32,24% OFF,?q=vegetable&nc=as
Carrots - Grated,₹41.64,24% OFF,?q=vegetable&nc=as
Drumstick - Cut,₹89.54,24% OFF,?q=vegetable&nc=as
Drumstick - Organically Grown,₹21.87,24% OFF,?q=vegetable&nc=as
Carrot Red Halwa,₹39.56,24% OFF,?q=vegetable&nc=as
"Potato - Chandramukhi, Organically Grown",₹31.34,20% OFF,?q=vegetable&nc=as
Tomato - Hybrid (Loose),₹7.5,58% OFF,?q=vegetable&nc=as
Bitter Gourd (Loose),₹21,52% OFF,?q=vegetable&nc=as
Coccinia (Loose),₹48,43% OFF,?q=vegetable&nc=as
Brinjal - Bottle Shape (Loose),₹25,41% OFF,?q=vegetable&nc=as
Bitter Gourd (Loose),₹21,52% OFF,?q=vegetable&nc=as
Coccinia (Loose),₹48,43% OFF,?q=vegetable&nc=as
Brinjal - Bottle Shape (Loose),₹25,41% OFF,?q=vegetable&nc=as
Beetroot - Organically Grown (Loose),₹9,45% OFF,?q=vegetable&nc=as
Sweet Potato (Loose),₹49,31% OFF,?q=vegetable&nc=as
Curry Leaves,₹157.81,20% OFF,?q=vegetable&nc=as
Beans - Broad (Loose),₹83,26% OFF,?q=vegetable&nc=as
Beans - Cowpea (Loose),₹17,38% OFF,?q=vegetable&nc=as
Cucumber - English (Loose),₹9.5,54% OFF,?q=vegetable&nc=as
Spring Onion - With roots,₹15.34,20% OFF,?q=vegetable&nc=as
Parwal (Loose),₹220,53% OFF,?q=vegetable&nc=as
Mint - Organically Grown,₹73.92,24% OFF,?q=vegetable&nc=as
Chow Chow (Loose),₹53.09,24% OFF,?q=vegetable&nc=as
Mushrooms - Button,₹48.22,20% OFF,?q=vegetable&nc=as
"Palak - Cleaned, without roots",₹47.12,20% OFF,?q=vegetable&nc=as
Broccoli,₹17.5,57% OFF,?q=vegetable&nc=as
Sweet Corn (Loose),₹35,38% OFF,?q=vegetable&nc=as
Cabbage - Organically Grown (Loose),₹14,62% OFF,?q=vegetable&nc=as
"Capsicum - Green, Organically Grown (Loose)",₹51,47% OFF,?q=vegetable&nc=as
Cucumber - Organically Grown (Loose),₹12,60% OFF,?q=vegetable&nc=as
Garlic - Organically Grown (Loose),₹313.5,48% OFF,?q=vegetable&nc=as
Colocasia (Loose),₹124.93,20% OFF,?q=vegetable&nc=as
Carrot - Ooty (Loose),₹119.46,20% OFF,?q=vegetable&nc=as
Onion - Organically Grown (Loose),₹86,37% OFF,?q=vegetable&nc=as
Cauliflower - Organically Grown,₹19,58% OFF,?q=vegetable&nc=as
"Tomato - Local, Organically Grown (Loose)",₹29,34% OFF,?q=vegetable&nc=as
Amla (Loose),₹98.91,24% OFF,?q=vegetable&nc=as
Snake Gourd,₹73.42,20% OFF,?q=vegetable&nc=as
Bottle Gourd - Organically Grown (Loose),₹33.32,24% OFF,?q=vegetable&nc=as
Pumpkin Green - Cut,₹44.93,20% OFF,?q=vegetable&nc=as
"Tomato - Hybrid, Organically Grown (Loose)",₹28,44% OFF,?q=vegetable&nc=as
Onion - Sambhar (Loose),₹128.22,20% OFF,?q=vegetable&nc=as
