Product_Name,Price,Discount,Category
Dairy Whitener,89.0,0.0,dairy
Miniatures Premium Assorted Chocolate - Diwali Gift Pack,520.0,0.0,dairy
Heart Blush Valentine's Chocolate Gift Pack,266.0,0.0,dairy
Bubbly Valentine's Gift Pack Chocolate Bar,351.0,0.0,dairy
Pasteurized Table Butter,57.0,0.0,dairy
Roast Almond Valentine's Gift Pack Chocolate Bar,351.0,0.0,dairy
Dailycious PP Curd,34.0,0.0,dairy
Cheese Slice - Processed Spread,301.0,0.0,dairy
Dairy Milk Chocolate Bar - Crispello,295.3610248447205,0.0,dairy
100% Tender Coconut Water,109.0,39.0,beverages
Diet Coke Soft Drink,152.0,8.0,beverages
Tender Coconut Water - With Pulpy Malai,49.0,18.0,beverages
Fresh 'N' Juicy Mango Drink,37.0,6.0,beverages
Soft Drink,60.0,20.0,beverages
Soft Drink,67.0,11.0,beverages
"Fruit Fun - American Pineapple, 32 Glasses",35.0,30.0,beverages
"Real Activ Fruit + Veggie Orange & Carrot Beverage, With No Added Sugars/Preservative -1L",278.0,18.0,beverages
Soft Drink - Lime & Lemoni Flavoured,85.0,14.0,beverages
Kiwi With Goodness Of Nata De Coco - Naturally Twisted,30.0,21.0,beverages
Fruit Drink - Pulpy Orange,142.0,13.0,beverages
"Cold Extracted Juice - Basics, Aloe Vera Lemonade",237.0,5.0,beverages
Zero Sugar Jamun Juice,52.0,15.0,beverages
Mango Fruit Power Juice,204.0,28.0,beverages
Cold Extracted Juice - Grapefruit,722.0,35.0,beverages
Lemon Flavoured,234.0,5.0,beverages
"Zero Lemon Lime Sparkling Water - Carbonated Water, Sugar Free, No Calories",174.0,5.0,beverages
"Sparkling Water - Green Apple, Carbonated Water, Zero Sugar/Calories",174.0,17.0,beverages
Soft Drink - Orange Flavoured,399.0,6.0,beverages
Sparkling Water - Club Soda,56.0,18.0,beverages
Hommade Lemoneez - Goodness Of 33 Lemons,162.0,23.0,beverages
Aromatic Spiced Bitters - Non-alcoholic,1250.0,13.0,beverages
Orange Bitters - Non-alcoholic,1250.0,6.0,beverages
Strawberry With Goodness Of Nata De Coco - Naturally Twisted,30.0,19.0,beverages
Soft Drink - Zero Sugar,23.0,6.0,beverages
"Apple Juice - Rich In Vitamin D, No Added Preservatives",120.0,36.0,beverages
Mango Drink,174.0,14.0,beverages
Fizz Jeera Masala Soda,56.0,47.0,beverages
Swing Juicier Drink - Slurpy Mango,60.0,43.0,beverages
100% Natural Cold Pressed Juice - Mango,405.0,22.0,beverages
Club Soda - Evervess,18.0,36.0,beverages
Apple - with No Added Sugar,178.0,5.0,beverages
"Almond Milk - Unsweetened, Rich In Calcium",1019.0,28.0,beverages
Plant-Based Almond Beverage - Vanilla,552.0,23.0,beverages
Plant-Based Almond Beverage - Chocolate,506.0,0.0,beverages
Milo RTD Cocoa Malt Drink With Millets - Chocolate Flavour,105.0,0.0,beverages
"Fiber Plus Juice - Multi Fruit Beverage, No Added Sugars & Preservative",216.0,0.0,beverages
"Fruit Beverage - No Added Sugar, Low Calories, Ginger Lemon",174.0,0.0,beverages
"Almond Milk - Unsweetened, Dairy Free",1404.0,0.0,beverages
Plant-Based Soy Beverage - Unsweetened,266.0,0.0,beverages
Plant-Based Soy Beverage - Chocolate,270.0,0.0,beverages
100% Tender Coconut Water,109.0,39.0,beverages
Diet Coke Soft Drink,152.0,8.0,beverages
Tender Coconut Water - With Pulpy Malai,49.0,18.0,beverages
Fresh 'N' Juicy Mango Drink,37.0,6.0,beverages
Soft Drink,60.0,20.0,beverages
Soft Drink,67.0,11.0,beverages
"Fruit Fun - American Pineapple, 32 Glasses",35.0,30.0,beverages
"Real Activ Fruit + Veggie Orange & Carrot Beverage, With No Added Sugars/Preservative -1L",278.0,18.0,beverages
Soft Drink - Lime & Lemoni Flavoured,85.0,14.0,beverages
Kiwi With Goodness Of Nata De Coco - Naturally Twisted,30.0,21.0,beverages
Fruit Drink - Pulpy Orange,142.0,13.0,beverages
"Cold Extracted Juice - Basics, Aloe Vera Lemonade",237.0,5.0,beverages
Zero Sugar Jamun Juice,52.0,15.0,beverages
Mango Fruit Power Juice,204.0,28.0,beverages
Cold Extracted Juice - Grapefruit,722.0,35.0,beverages
Lemon Flavoured,234.0,5.0,beverages
"Zero Lemon Lime Sparkling Water - Carbonated Water, Sugar Free, No Calories",174.0,5.0,beverages
"Sparkling Water - Green Apple, Carbonated Water, Zero Sugar/Calories",174.0,17.0,beverages
Soft Drink - Orange Flavoured,399.0,6.0,beverages
Sparkling Water - Club Soda,56.0,18.0,beverages
Hommade Lemoneez - Goodness Of 33 Lemons,162.0,23.0,beverages
Aromatic Spiced Bitters - Non-alcoholic,1250.0,13.0,beverages
Orange Bitters - Non-alcoholic,1250.0,6.0,beverages
Strawberry With Goodness Of Nata De Coco - Naturally Twisted,30.0,19.0,beverages
Soft Drink - Zero Sugar,23.0,6.0,beverages
"Apple Juice - Rich In Vitamin D, No Added Preservatives",120.0,36.0,beverages
Mango Drink,174.0,14.0,beverages
Fizz Jeera Masala Soda,56.0,47.0,beverages
Swing Juicier Drink - Slurpy Mango,60.0,43.0,beverages
100% Natural Cold Pressed Juice - Mango,405.0,22.0,beverages
Club Soda - Evervess,18.0,36.0,beverages
Apple - with No Added Sugar,178.0,5.0,beverages
"Almond Milk - Unsweetened, Rich In Calcium",1019.0,28.0,beverages
Plant-Based Almond Beverage - Vanilla,552.0,23.0,beverages
Plant-Based Almond Beverage - Chocolate,506.0,23.0,beverages
Milo RTD Cocoa Malt Drink With Millets - Chocolate Flavour,105.0,38.0,beverages
"Fiber Plus Juice - Multi Fruit Beverage, No Added Sugars & Preservative",216.0,12.0,beverages
"Fruit Beverage - No Added Sugar, Low Calories, Ginger Lemon",174.0,25.0,beverages
"Almond Milk - Unsweetened, Dairy Free",1404.0,20.0,beverages
Plant-Based Soy Beverage - Unsweetened,266.0,58.0,beverages
Plant-Based Soy Beverage - Chocolate,270.0,15.0,beverages
Plant-Based Soy Beverage - Unsweetened,266.0,30.0,beverages
Nutritional Beverage Mix - Creamy Vanilla Flavour,1455.0,5.0,beverages
Plant-Based Soy Beverage - Chocolate,270.0,17.0,beverages
"Prime Tea Strainer No 2 - Stainless Steel, Drains Beverages",49.0,25.0,beverages
Ready To Drink Coffee & Milk Beverage - Chilled Latte Flavoured,118.0,58.0,beverages
Instant Energy Nutrition Drink - Regular,330.0,16.0,beverages
Oat Beverage - Caramel,240.0,15.0,beverages
"Nutritional Beverage Mix - Original, For Adults",1599.0,6.0,beverages
Plant-Based Soy Beverage - Protein+,300.0,45.0,beverages
"OatWOW Classic - Oat Beverage, Dairy Alternative",1800.0,39.0,beverages
Original Adult Nutritional Drink Mix For Recovery With High Protein,2620.0,10.0,beverages
"Margarita Non-Alcoholic Beverage - Lemon, Lime, Chili, Agave",1382.0,0.0,beverages
Almond Barista Edition Beverage,276.0,0.0,beverages
Dairy Based Beverage Mix - Royale Chocolate Flavour,395.0,0.0,beverages
"Fruit Beverage - No Added Sugar, Low Calories, Peach",174.0,0.0,beverages
Plant-Based Soy Beverage - Original,272.0,0.0,beverages
Nutritional Beverage Mix - Rich Chocolate Flavour,1455.0,0.0,beverages
Energy Drink - Sugar Free,2250.0,0.0,beverages
Non Alcoholic Beverage - Whiskey Sour Mixer,1382.0,0.0,beverages
Plant-Based Soy Beverage - Elaichi,144.0,0.0,beverages
"Non-Alcoholic Beer Bottle - Malt Beverage, Apple Flavour",99.0,0.0,beverages
"Peach Lemonade - Low Calorie, Refreshing Beverage",80.0,0.0,beverages
"Mixed Berry Lemonade - Low Calorie, Refreshing Beverage",89.0,0.0,beverages
